[07-29-2023 16:10:23] WARNING // api.api_connexion // ThreadPoolExecutor-0_9// Backing off 0.1 secondsafter 1 tries ==> Exception: too many calls
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_4// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=86&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] WARNING // api.api_connexion // ThreadPoolExecutor-0_4// Backing off 0.3 secondsafter 1 tries ==> Exception: too many calls
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_7// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=87&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_6// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=90&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_1// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=84&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_5// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=83&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_3// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=88&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:24] INFO // api.api_connexion // ThreadPoolExecutor-0_2// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=89&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:24] INFO // api.api_connexion // ThreadPoolExecutor-0_7// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=95&batch_size=50&jurisdiction=cc&date_start=2023
